,Team,RS,RA,OBP,SLG,BA,Playoffs
370,COL,968,897,0.362,0.455,0.294,0
371,DET,823,827,0.343,0.438,0.275,0
372,FLA,731,797,0.331,0.409,0.262,0
374,KCR,879,930,0.348,0.425,0.288,0
375,LAD,798,729,0.341,0.431,0.257,0
376,MIL,740,826,0.325,0.403,0.246,0
377,MIN,748,880,0.337,0.407,0.27,0
378,MON,738,902,0.326,0.432,0.266,0
379,NYM,807,738,0.346,0.43,0.263,1
381,OAK,947,813,0.36,0.458,0.27,1
382,PHI,708,830,0.329,0.4,0.251,0
383,PIT,793,888,0.339,0.424,0.267,0
384,SDP,752,815,0.33,0.402,0.254,0
385,SEA,907,780,0.361,0.442,0.269,1
386,SFG,925,747,0.362,0.472,0.278,1
387,STL,887,771,0.356,0.455,0.27,1
389,TEX,848,974,0.352,0.446,0.283,0
391,ANA,711,826,0.322,0.395,0.256,0
392,ARI,908,676,0.347,0.459,0.277,1
394,BAL,851,815,0.353,0.447,0.279,0
397,CHW,777,870,0.337,0.429,0.277,0
398,CIN,865,711,0.341,0.451,0.272,0
399,CLE,1009,860,0.373,0.467,0.289,1
400,COL,906,1028,0.348,0.472,0.288,0
401,DET,747,882,0.326,0.443,0.261,0
402,FLA,691,852,0.325,0.395,0.263,0
403,HOU,823,675,0.355,0.42,0.267,1
405,LAD,793,787,0.339,0.42,0.266,0
407,MIN,686,845,0.328,0.384,0.264,0
408,MON,718,853,0.323,0.427,0.265,0
409,NYM,853,711,0.363,0.434,0.279,1
410,NYY,900,731,0.366,0.453,0.282,1
413,PIT,775,782,0.334,0.419,0.259,0
414,SDP,710,781,0.332,0.393,0.252,0
415,SEA,859,905,0.343,0.455,0.269,0
417,STL,809,838,0.338,0.426,0.262,0
418,TBD,772,913,0.343,0.411,0.274,0
419,TEX,945,859,0.361,0.479,0.293,1
423,ATL,826,581,0.342,0.453,0.272,1
424,BAL,817,785,0.347,0.447,0.273,0
425,BOS,876,729,0.348,0.463,0.28,1
426,CHC,831,792,0.337,0.433,0.264,1
427,CHW,861,931,0.339,0.444,0.271,0
428,CIN,750,760,0.337,0.402,0.262,0
429,CLE,850,779,0.347,0.448,0.272,1
431,DET,722,863,0.323,0.415,0.264,0
432,FLA,667,923,0.317,0.373,0.248,0
433,HOU,874,620,0.356,0.436,0.28,1
434,KCR,714,899,0.324,0.399,0.263,0
435,LAD,669,678,0.31,0.387,0.252,0
436,MIL,707,812,0.33,0.396,0.26,0
437,MIN,734,818,0.328,0.389,0.266,0
438,MON,644,783,0.31,0.394,0.249,0
439,NYM,706,645,0.33,0.394,0.259,0
441,OAK,804,866,0.338,0.397,0.257,0
444,SDP,749,635,0.33,0.409,0.253,1
445,SEA,859,855,0.345,0.468,0.276,0
448,TBD,620,751,0.321,0.385,0.261,0
449,TEX,940,871,0.357,0.462,0.289,1
450,TOR,816,768,0.34,0.448,0.266,0
451,ANA,829,794,0.346,0.416,0.272,0
452,ATL,791,581,0.343,0.426,0.27,1
453,BAL,812,681,0.341,0.429,0.268,1
455,CHC,687,759,0.321,0.396,0.263,0
456,CHW,779,833,0.341,0.417,0.273,0
457,CIN,651,764,0.321,0.389,0.253,0
458,CLE,868,815,0.358,0.467,0.286,1
460,DET,784,790,0.332,0.415,0.258,0
461,FLA,740,669,0.346,0.395,0.259,1
462,HOU,777,660,0.344,0.403,0.259,1
463,KCR,747,820,0.333,0.407,0.264,0
464,LAD,742,645,0.33,0.418,0.268,0
466,MIN,772,861,0.333,0.409,0.27,0
467,MON,691,740,0.316,0.425,0.258,0
468,NYM,777,709,0.332,0.405,0.262,0
469,NYY,891,688,0.362,0.436,0.287,1
471,PHI,668,840,0.322,0.385,0.255,0
472,PIT,725,760,0.329,0.404,0.262,0
473,SDP,795,891,0.342,0.407,0.271,0
476,STL,689,708,0.324,0.396,0.255,0
477,TEX,807,823,0.334,0.438,0.274,0
478,TOR,654,694,0.31,0.389,0.244,0
479,ATL,773,648,0.333,0.432,0.27,1
480,BAL,949,903,0.35,0.472,0.274,1
481,BOS,928,921,0.359,0.457,0.283,0
482,CAL,762,943,0.339,0.431,0.276,0
483,CHC,772,771,0.32,0.401,0.251,0
484,CHW,898,794,0.36,0.447,0.281,0
486,CLE,952,769,0.369,0.475,0.293,1
490,HOU,753,792,0.336,0.397,0.262,0
492,LAD,703,652,0.316,0.384,0.252,1
493,MIL,894,899,0.353,0.441,0.279,0
494,MIN,877,900,0.357,0.425,0.288,0
496,NYM,746,779,0.324,0.412,0.27,0
497,NYY,871,787,0.36,0.436,0.288,1
499,PHI,650,790,0.325,0.387,0.256,0
502,SEA,993,895,0.366,0.484,0.287,0
504,STL,759,706,0.33,0.407,0.267,1
507,ATL,767,559,0.331,0.408,0.262,1
508,BAL,786,745,0.346,0.413,0.267,0
509,BOS,686,698,0.33,0.395,0.264,0
510,CAL,684,770,0.331,0.38,0.26,0
512,CHW,776,664,0.338,0.411,0.265,1
513,CIN,722,785,0.324,0.396,0.264,0
514,CLE,790,813,0.335,0.409,0.275,0
516,DET,899,837,0.362,0.434,0.275,0
518,HOU,716,630,0.33,0.409,0.267,0
519,KCR,675,694,0.32,0.397,0.263,0
521,MIL,733,792,0.328,0.378,0.258,0
522,MIN,693,830,0.327,0.385,0.264,0
523,MON,732,682,0.326,0.386,0.257,0
524,NYM,672,744,0.305,0.39,0.248,0
525,NYY,821,761,0.353,0.435,0.279,0
526,OAK,715,846,0.33,0.394,0.254,0
527,PHI,877,740,0.351,0.426,0.274,1
528,PIT,707,806,0.335,0.393,0.267,0
529,SDP,679,772,0.312,0.389,0.252,0
530,SEA,734,731,0.339,0.406,0.26,0
531,SFG,808,636,0.34,0.427,0.276,0
534,TOR,847,742,0.35,0.436,0.279,1
535,ATL,682,569,0.316,0.388,0.254,1
538,CAL,579,671,0.301,0.338,0.243,0
540,CHW,738,690,0.336,0.383,0.261,0
542,CLE,674,746,0.323,0.383,0.266,0
543,DET,791,794,0.337,0.407,0.256,0
545,KCR,610,667,0.315,0.364,0.256,0
547,MIL,740,604,0.33,0.375,0.268,0
548,MIN,747,653,0.341,0.391,0.277,0
550,NYM,599,653,0.31,0.342,0.235,0
551,NYY,733,746,0.328,0.406,0.261,0
552,OAK,745,672,0.346,0.386,0.258,1
553,PHI,686,717,0.32,0.377,0.253,0
555,SDP,617,636,0.313,0.386,0.255,0
556,SEA,679,799,0.323,0.402,0.263,0
557,SFG,574,647,0.302,0.355,0.244,0
558,STL,631,604,0.323,0.375,0.262,0
559,TEX,682,753,0.321,0.393,0.25,0
561,ATL,749,644,0.328,0.393,0.258,1
562,BAL,686,796,0.319,0.401,0.254,0
566,CHW,758,681,0.336,0.391,0.262,0
567,CIN,689,691,0.32,0.403,0.258,0
568,CLE,576,759,0.313,0.35,0.254,0
571,KCR,727,722,0.328,0.394,0.264,0
572,LAD,665,565,0.326,0.359,0.253,0
573,MIL,799,744,0.336,0.396,0.271,0
575,MON,579,655,0.308,0.357,0.246,0
577,NYY,674,777,0.316,0.387,0.256,0
579,PHI,629,680,0.303,0.358,0.241,0
581,SDP,636,646,0.31,0.362,0.244,0
582,SEA,702,674,0.328,0.383,0.255,0
583,SFG,649,697,0.309,0.381,0.246,0
584,STL,651,648,0.322,0.357,0.255,0
585,TEX,829,814,0.341,0.424,0.27,0
586,TOR,684,622,0.322,0.4,0.257,1
587,ATL,682,821,0.311,0.396,0.25,0
589,BOS,699,664,0.344,0.395,0.272,1
590,CAL,690,706,0.329,0.391,0.26,0
591,CHC,690,774,0.314,0.392,0.263,0
592,CHW,682,633,0.32,0.379,0.258,0
593,CIN,693,597,0.325,0.399,0.265,1
595,DET,750,754,0.337,0.409,0.259,0
597,KCR,707,709,0.328,0.395,0.267,0
598,LAD,728,685,0.328,0.382,0.262,0
603,NYY,603,749,0.3,0.366,0.241,0
605,PHI,646,729,0.327,0.363,0.255,0
607,SDP,673,673,0.32,0.38,0.257,0
608,SEA,640,680,0.333,0.373,0.259,0
609,SFG,719,710,0.323,0.396,0.262,0
610,STL,599,698,0.32,0.358,0.256,0
612,TOR,767,661,0.328,0.419,0.265,0
613,ATL,584,680,0.298,0.35,0.234,0
614,BAL,708,686,0.326,0.379,0.252,0
615,BOS,774,735,0.351,0.403,0.277,0
616,CAL,669,578,0.311,0.386,0.256,0
617,CHC,702,623,0.319,0.387,0.261,1
618,CHW,693,750,0.328,0.383,0.271,0
619,CIN,632,691,0.309,0.37,0.247,0
622,HOU,647,669,0.306,0.345,0.239,0
623,KCR,690,635,0.329,0.373,0.261,0
624,LAD,554,536,0.306,0.339,0.24,0
625,MIL,707,679,0.318,0.382,0.259,0
626,MIN,740,738,0.334,0.402,0.276,0
628,NYM,683,595,0.311,0.385,0.246,0
629,NYY,698,792,0.331,0.391,0.269,0
630,OAK,712,576,0.331,0.381,0.261,1
631,PHI,629,735,0.314,0.364,0.243,0
632,PIT,637,680,0.311,0.359,0.241,0
634,SEA,694,728,0.32,0.384,0.257,0
636,STL,632,608,0.321,0.363,0.258,0
638,TOR,731,651,0.323,0.398,0.26,1
639,ATL,555,741,0.298,0.348,0.242,0
640,BAL,550,789,0.305,0.359,0.238,0
644,CHW,631,757,0.303,0.37,0.244,0
645,CIN,641,596,0.309,0.368,0.246,0
648,HOU,617,631,0.306,0.351,0.244,0
649,KCR,704,648,0.321,0.391,0.259,0
650,LAD,628,544,0.305,0.352,0.248,1
651,MIL,682,616,0.314,0.375,0.257,0
652,MIN,759,672,0.34,0.421,0.274,0
653,MON,628,592,0.309,0.373,0.251,0
655,NYY,772,748,0.333,0.395,0.263,0
656,OAK,800,620,0.336,0.399,0.263,1
657,PHI,597,734,0.306,0.355,0.239,0
658,PIT,651,616,0.317,0.369,0.247,0
659,SDP,594,583,0.31,0.351,0.247,0
660,SEA,664,744,0.317,0.398,0.257,0
661,SFG,670,626,0.318,0.368,0.248,0
662,STL,578,633,0.309,0.337,0.249,0
665,ATL,747,829,0.339,0.403,0.258,0
668,CAL,770,803,0.326,0.401,0.252,0
670,CHW,748,746,0.319,0.415,0.258,0
671,CIN,783,752,0.33,0.427,0.266,0
673,DET,896,735,0.349,0.451,0.272,1
676,LAD,635,675,0.309,0.371,0.252,0
677,MIL,862,817,0.346,0.428,0.276,0
678,MIN,786,806,0.328,0.43,0.261,1
679,MON,741,720,0.328,0.401,0.265,0
681,NYY,788,758,0.336,0.418,0.262,0
684,PIT,723,744,0.33,0.403,0.264,0
685,SDP,668,763,0.332,0.378,0.26,0
687,SFG,783,669,0.324,0.43,0.26,1
688,STL,798,693,0.34,0.378,0.263,1
689,TEX,823,849,0.333,0.43,0.266,0
690,TOR,845,655,0.336,0.446,0.269,0
691,ATL,615,719,0.319,0.381,0.25,0
692,BAL,708,760,0.327,0.395,0.258,0
693,BOS,794,696,0.346,0.415,0.271,1
696,CHW,644,699,0.31,0.363,0.247,0
698,CLE,831,841,0.337,0.43,0.284,0
699,DET,798,714,0.338,0.424,0.263,0
700,HOU,654,569,0.322,0.381,0.255,1
702,LAD,638,679,0.313,0.37,0.251,0
703,MIL,667,734,0.321,0.385,0.255,0
709,PHI,739,713,0.327,0.4,0.253,0
711,SDP,656,723,0.321,0.388,0.261,0
716,TOR,809,733,0.329,0.427,0.269,0
717,ATL,632,781,0.315,0.363,0.246,0
718,BAL,818,764,0.336,0.43,0.263,0
719,BOS,800,720,0.347,0.429,0.282,0
720,CAL,732,703,0.333,0.386,0.251,0
721,CHC,686,729,0.324,0.39,0.254,0
722,CHW,736,720,0.315,0.392,0.253,0
723,CIN,677,666,0.327,0.376,0.255,0
724,CLE,729,861,0.324,0.385,0.265,0
725,DET,729,688,0.318,0.424,0.253,0
726,HOU,706,691,0.319,0.388,0.261,0
728,LAD,682,579,0.328,0.382,0.261,1
729,MIL,690,802,0.319,0.379,0.263,0
730,MIN,705,782,0.326,0.407,0.264,0
733,NYY,839,660,0.344,0.425,0.267,0
734,OAK,757,787,0.325,0.401,0.264,0
736,PIT,568,708,0.311,0.347,0.247,0
737,SDP,650,622,0.32,0.368,0.255,0
738,SEA,719,818,0.326,0.412,0.255,0
739,SFG,556,674,0.299,0.348,0.233,0
741,TEX,617,785,0.322,0.381,0.253,0
744,BAL,681,667,0.328,0.391,0.252,0
746,CAL,696,697,0.319,0.381,0.249,0
749,CIN,627,747,0.313,0.356,0.244,0
750,CLE,761,766,0.335,0.384,0.265,0
751,DET,829,643,0.342,0.432,0.271,1
752,HOU,693,630,0.323,0.371,0.264,0
756,MIN,673,675,0.318,0.385,0.265,0
757,MON,593,585,0.312,0.362,0.251,0
758,NYM,652,676,0.32,0.369,0.257,0
759,NYY,758,679,0.339,0.404,0.276,0
760,OAK,738,796,0.327,0.404,0.259,0
762,PIT,615,567,0.31,0.363,0.255,0
765,SFG,682,807,0.328,0.375,0.265,0
766,STL,652,645,0.317,0.351,0.252,0
767,TEX,656,714,0.313,0.377,0.261,0
769,ATL,746,640,0.341,0.4,0.272,0
770,BAL,799,652,0.34,0.421,0.269,1
771,BOS,724,775,0.335,0.409,0.27,0
772,CAL,722,779,0.322,0.393,0.26,0
773,CHC,701,719,0.319,0.401,0.261,0
774,CHW,800,650,0.329,0.413,0.262,1
775,CIN,623,710,0.314,0.356,0.239,0
777,DET,789,679,0.335,0.427,0.274,0
778,HOU,643,646,0.32,0.375,0.257,0
779,KCR,696,767,0.32,0.397,0.271,0
780,LAD,654,609,0.318,0.379,0.25,1
783,MON,677,646,0.326,0.386,0.264,0
784,NYM,575,680,0.3,0.344,0.241,0
785,NYY,770,703,0.337,0.416,0.273,0
786,OAK,708,782,0.326,0.381,0.262,0
787,PHI,696,635,0.329,0.373,0.249,1
788,PIT,659,648,0.325,0.383,0.264,0
789,SDP,653,653,0.311,0.351,0.25,0
790,SEA,558,740,0.301,0.36,0.24,0
792,STL,679,710,0.335,0.384,0.27,0
793,TEX,639,609,0.31,0.366,0.255,0
794,TOR,795,726,0.338,0.436,0.277,0
796,BAL,774,687,0.341,0.419,0.266,0
799,CHC,676,709,0.317,0.375,0.26,0
801,CIN,545,661,0.31,0.35,0.251,0
802,CLE,683,748,0.341,0.373,0.262,0
803,DET,729,685,0.324,0.418,0.266,0
804,HOU,569,620,0.302,0.349,0.247,0
805,KCR,784,717,0.337,0.428,0.285,0
807,MIL,891,717,0.335,0.455,0.279,1
809,MON,697,616,0.325,0.396,0.262,0
810,NYM,609,723,0.305,0.35,0.247,0
812,OAK,691,819,0.309,0.367,0.236,0
814,PIT,724,696,0.327,0.408,0.273,0
815,SDP,675,658,0.311,0.359,0.257,0
816,SEA,651,712,0.311,0.381,0.254,0
817,SFG,673,687,0.327,0.376,0.253,0
818,STL,685,609,0.334,0.364,0.264,1
819,TEX,590,749,0.308,0.359,0.249,0
820,TOR,651,701,0.314,0.383,0.262,0
821,ATL,630,660,0.307,0.38,0.25,0
822,BAL,805,640,0.342,0.413,0.273,0
823,BOS,757,767,0.34,0.436,0.283,0
824,CAL,698,797,0.332,0.378,0.265,0
826,CHW,587,722,0.311,0.37,0.259,0
827,CIN,707,670,0.327,0.386,0.262,0
830,HOU,637,589,0.326,0.367,0.261,1
831,KCR,809,694,0.345,0.413,0.286,1
832,LAD,663,591,0.323,0.388,0.263,0
835,MON,694,629,0.324,0.388,0.257,0
836,NYM,611,702,0.319,0.345,0.257,0
840,PIT,666,646,0.322,0.388,0.266,0
844,STL,738,710,0.328,0.4,0.275,0
845,TEX,756,752,0.339,0.405,0.284,0
848,BAL,757,582,0.336,0.419,0.261,1
