,Team,RS,RA,OBP,SLG,BA,Playoffs
928,CAL,550,631,0.306,0.318,0.235,0
930,CHW,586,745,0.314,0.349,0.255,0
933,DET,609,709,0.315,0.365,0.257,0
935,KCR,713,611,0.327,0.371,0.269,1
936,LAD,608,543,0.313,0.349,0.251,0
939,MON,531,734,0.291,0.34,0.235,0
944,PIT,708,630,0.321,0.391,0.267,0
945,SDP,570,662,0.31,0.337,0.247,0
949,ATL,583,739,0.313,0.346,0.244,0
951,BOS,796,709,0.344,0.417,0.275,1
953,CHC,712,827,0.338,0.368,0.259,0
954,CHW,655,703,0.331,0.358,0.255,0
957,DET,570,786,0.301,0.366,0.249,0
959,KCR,710,649,0.333,0.394,0.261,0
961,MIL,675,792,0.32,0.389,0.25,0
963,MON,601,690,0.317,0.348,0.244,0
971,STL,662,689,0.327,0.375,0.273,0
972,TEX,714,733,0.33,0.371,0.256,0
973,ATL,661,563,0.319,0.363,0.249,0
976,CAL,618,657,0.321,0.356,0.254,0
981,DET,620,768,0.303,0.366,0.247,0
982,HOU,653,632,0.322,0.378,0.263,0
983,KCR,667,662,0.327,0.364,0.259,0
984,LAD,798,561,0.342,0.401,0.272,1
993,SDP,541,830,0.302,0.33,0.229,0
995,STL,677,643,0.331,0.365,0.265,0
999,BOS,738,647,0.338,0.401,0.267,0
1001,CHC,614,655,0.32,0.357,0.247,0
1005,DET,642,674,0.32,0.39,0.254,0
1008,LAD,675,565,0.323,0.371,0.263,0
1010,MIN,738,692,0.342,0.393,0.27,0
1012,NYM,608,588,0.315,0.338,0.246,1
1017,SDP,548,770,0.296,0.351,0.244,0
1023,BOS,691,667,0.322,0.397,0.252,0
1025,CHC,637,648,0.325,0.378,0.258,0
1035,MON,622,729,0.322,0.343,0.246,0
1037,NYY,648,641,0.328,0.36,0.254,0
1038,OAK,691,564,0.321,0.384,0.252,1
1047,BOS,786,722,0.335,0.428,0.262,0
1049,CHC,806,679,0.333,0.415,0.259,0
1057,MIL,613,751,0.319,0.358,0.242,0
1064,PIT,729,664,0.325,0.406,0.27,1
1069,ATL,691,631,0.321,0.38,0.258,1
1082,MON,582,791,0.31,0.359,0.24,0
1090,SFG,713,636,0.334,0.361,0.242,0
1093,ATL,514,549,0.307,0.339,0.252,0
1095,BOS,614,611,0.313,0.352,0.236,0
1100,CLE,516,504,0.293,0.327,0.234,0
1101,DET,671,492,0.307,0.385,0.235,1
1105,NYM,473,499,0.281,0.315,0.228,0
1106,NYY,536,531,0.292,0.318,0.214,0
1108,PHI,543,615,0.294,0.333,0.233,0
1111,STL,583,472,0.298,0.346,0.249,1
1114,BAL,654,592,0.31,0.372,0.24,0
1120,CLE,559,613,0.293,0.359,0.235,0
1126,NYM,498,672,0.288,0.325,0.238,0
1130,SFG,652,551,0.313,0.372,0.245,0
1136,CAL,604,643,0.303,0.354,0.232,0
1138,CHW,574,517,0.297,0.331,0.231,0
1148,PHI,696,640,0.322,0.378,0.258,0
1149,PIT,759,641,0.329,0.428,0.279,0
1154,BOS,669,791,0.327,0.4,0.251,0
1158,CIN,825,704,0.339,0.439,0.273,0
1159,CLE,663,613,0.315,0.379,0.25,0
1160,DET,680,602,0.312,0.374,0.238,0
1161,HOU,569,711,0.305,0.34,0.237,0
1163,LAD,608,521,0.312,0.335,0.245,1
1166,NYM,495,752,0.277,0.327,0.221,0
1168,PHI,654,667,0.313,0.384,0.25,0
1170,SFG,682,593,0.313,0.385,0.252,0
1172,WSA,591,721,0.304,0.35,0.228,0
1173,BAL,679,567,0.316,0.387,0.248,0
1180,HOU,495,628,0.285,0.315,0.229,0
1182,LAA,544,551,0.304,0.344,0.242,0
1187,NYY,730,577,0.317,0.387,0.253,1
1192,WSA,578,733,0.299,0.348,0.231,0
1209,PIT,567,595,0.309,0.359,0.25,0
1212,WSA,578,812,0.293,0.351,0.227,0
1217,CIN,802,685,0.332,0.417,0.27,0
1219,DET,758,692,0.33,0.411,0.248,0
1230,SFG,878,690,0.341,0.441,0.278,1
